c0_path,split,label,original,manipulation,height,width,frame_rate,nb_frames,c23_path,c40_path
manipulated_sequences/Deepfakes/c0/videos/000_003.mp4,test,FAKE,000.mp4,Deepfakes,480,640,15,238,manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c40/videos/000_003.mp4
manipulated_sequences/Deepfakes/c0/videos/001_870.mp4,train,FAKE,001.mp4,Deepfakes,720,1280,15,276,manipulated_sequences/Deepfakes/c23/videos/001_870.mp4,manipulated_sequences/Deepfakes/c40/videos/001_870.mp4
manipulated_sequences/Deepfakes/c0/videos/002_006.mp4,train,FAKE,002.mp4,Deepfakes,720,1280,15,347,manipulated_sequences/Deepfakes/c23/videos/002_006.mp4,manipulated_sequences/Deepfakes/c40/videos/002_006.mp4
manipulated_sequences/Deepfakes/c0/videos/003_000.mp4,test,FAKE,003.mp4,Deepfakes,480,640,15,182,manipulated_sequences/Deepfakes/c23/videos/003_000.mp4,manipulated_sequences/Deepfakes/c40/videos/003_000.mp4
manipulated_sequences/Deepfakes/c0/videos/004_982.mp4,val,FAKE,004.mp4,Deepfakes,720,1280,15,185,manipulated_sequences/Deepfakes/c23/videos/004_982.mp4,manipulated_sequences/Deepfakes/c40/videos/004_982.mp4
manipulated_sequences/Deepfakes/c0/videos/005_010.mp4,train,FAKE,005.mp4,Deepfakes,480,720,15,231,manipulated_sequences/Deepfakes/c23/videos/005_010.mp4,manipulated_sequences/Deepfakes/c40/videos/005_010.mp4
manipulated_sequences/Deepfakes/c0/videos/006_002.mp4,train,FAKE,006.mp4,Deepfakes,720,1280,15,155,manipulated_sequences/Deepfakes/c23/videos/006_002.mp4,manipulated_sequences/Deepfakes/c40/videos/006_002.mp4
manipulated_sequences/Deepfakes/c0/videos/007_132.mp4,train,FAKE,007.mp4,Deepfakes,480,600,15,303,manipulated_sequences/Deepfakes/c23/videos/007_132.mp4,manipulated_sequences/Deepfakes/c40/videos/007_132.mp4
manipulated_sequences/Deepfakes/c0/videos/008_990.mp4,train,FAKE,008.mp4,Deepfakes,480,640,15,382,manipulated_sequences/Deepfakes/c23/videos/008_990.mp4,manipulated_sequences/Deepfakes/c40/videos/008_990.mp4
manipulated_sequences/Deepfakes/c0/videos/009_027.mp4,train,FAKE,009.mp4,Deepfakes,480,640,15,294,manipulated_sequences/Deepfakes/c23/videos/009_027.mp4,manipulated_sequences/Deepfakes/c40/videos/009_027.mp4
manipulated_sequences/Deepfakes/c0/videos/010_005.mp4,train,FAKE,010.mp4,Deepfakes,480,640,15,284,manipulated_sequences/Deepfakes/c23/videos/010_005.mp4,manipulated_sequences/Deepfakes/c40/videos/010_005.mp4
manipulated_sequences/Deepfakes/c0/videos/011_805.mp4,train,FAKE,011.mp4,Deepfakes,720,1280,15,395,manipulated_sequences/Deepfakes/c23/videos/011_805.mp4,manipulated_sequences/Deepfakes/c40/videos/011_805.mp4
manipulated_sequences/Deepfakes/c0/videos/012_026.mp4,test,FAKE,012.mp4,Deepfakes,480,640,15,218,manipulated_sequences/Deepfakes/c23/videos/012_026.mp4,manipulated_sequences/Deepfakes/c40/videos/012_026.mp4
manipulated_sequences/Deepfakes/c0/videos/013_883.mp4,train,FAKE,013.mp4,Deepfakes,480,640,15,199,manipulated_sequences/Deepfakes/c23/videos/013_883.mp4,manipulated_sequences/Deepfakes/c40/videos/013_883.mp4
manipulated_sequences/Deepfakes/c0/videos/014_790.mp4,train,FAKE,014.mp4,Deepfakes,480,640,15,338,manipulated_sequences/Deepfakes/c23/videos/014_790.mp4,manipulated_sequences/Deepfakes/c40/videos/014_790.mp4
